Ano,Disciplina,Bimestre,Conteúdo/Tema,Habilidades/Objetivos
Não especificado,Geral/Múltiplas,3º Bimestre,"Nuevo Reporteros 1 – Unidad 3 (Mi familia y mi casa)

Los posesivos átonos;
El presente de indicativo: verbos irregulares;
Léxico: la familia, la descripción física, los colores.","Identificar los grados de parentesco a partir de un árbol genealógico
Reconocer el vocabulario referente a los miembros de la familia;
Utilizar los posesivos átonos (mi/s, tu/s, su/s) para expresar relaciones familiares;

Identificar a una persona a partir de sus rasgos físicos
Utilizar verbos en presente de indicativo para describir físicamente a una persona;
Reconocer el vocabulario referente a la descripción física y a los colores en español."
Não especificado,Geral/Múltiplas,3º Bimestre,"Nuevo Reporteros 1 – Unidad 3 (Mi familia y mi casa)

Los posesivos átonos;
El presente de indicativo: verbos irregulares;
Verbo haber;
La localización (en, delante, detrás, encima);
Tener que + infinitivo;
Léxico: la familia, la descripción física, los colores, los pisos y las casas, las partes de la casa, los muebles, las tareas domésticas.","Describir a una persona a partir de sus rasgos físicos
Utilizar verbos en presente de indicativo para describir físicamente a una persona;
Reconocer el vocabulario referente a la descripción física y a los colores en español.

Describir una casa
Leer e interpretar anuncios;
Utilizar el verbo haber para describir las partes de una casa;
Manejar los localizadores para decir dónde está algo (en, delante, detrás, encima);
Mencionar las principales tareas domésticas;
Reconocer el vocabulario referente a las partes de la casa y a los muebles."
Não especificado,Geral/Múltiplas,3º Bimestre,AP3 + AB3,AP3 + AB3
Não especificado,Geral/Múltiplas,4º Bimestre,"Nuevo Reporteros 1 – Unidad 4 (Mi semana)

Los verbos reflexivos;
Verbos irregulares en presente (dormir, merendar, vestirse);
Los verbos ir, ver y hacer en presente;
La hora: de ... a ...;
Los artículos y los días de la semana;
La frecuencia: siempre...
Secuenciar acciones (primero, luego, después);
Léxico: las actividades cotidianas, las partes del día, los alimentos, los días de la semana, las comidas del día, las horas, las asignaturas.","Identificar diferentes actividades que se realizan cotidianamente
Manejar verbos en presente de indicativo para describir la rutina (propia y/o ajena);
Reconocer las irregularidades en presente de indicativo;
Utilizar correctamente los pronombres de los verbos reflexivos;
Reconocer el vocabulario referente a: la hora, los días de la semana, las actividades cotidianas, las comidas del día y las asignaturas."
Não especificado,Geral/Múltiplas,4º Bimestre,"Nuevo Reporteros 1 – Unidad 4 (Mi semana)

Los verbos reflexivos;
Verbos irregulares en presente (dormir, merendar, vestirse);
Los verbos ir, ver y hacer en presente;
La hora: de ... a ...;
Los artículos y los días de la semana;
La frecuencia: siempre...
Secuenciar acciones (primero, luego, después);
Léxico: las actividades cotidianas, las partes del día, los alimentos, los días de la semana, las comidas del día, las horas, las asignaturas, las actividades extraescolares, las actividades de tiempo libre.","Describir diferentes rutinas (propia y/o ajena)
Utilizar los verbos en presente de indicativo (regulares e irregulares) y los verbos reflexivos;
Emplear correctamente los pronombres de los verbos reflexivos;
Organizar un texto de forma secuencial, utilizando primero, luego, después;
Mencionar los días y las horas en los que se realizan determinadas actividades;
Manejar correctamente el vocabulario referente a la hora, los días de la semana, las actividades cotidianas, las comidas del día y las asignaturas.

         Describir actividades extraescolares y actividades de tiempo libre
Utilizar los verbos en presente de indicativo (regulares e irregulares) y los verbos reflexivos;
Emplear correctamente los pronombres de los verbos reflexivos;
Mencionar los días y las horas en los que se realizan determinadas actividades;
Manejar correctamente el vocabulario referente a la hora, los días de la semana, las actividades extraescolares y las actividades de tiempo libre."
Não especificado,Geral/Múltiplas,4º Bimestre,AP4 + AB4,AP4 + AB4
Não especificado,Geral/Múltiplas,1º Bimestre,Introdução,"Identificar o objeto de estudo da geografia (relação entre sociedade e natureza) 
Definir o conceito de espaço geográfico 
Descrever processos de transformação do espaço geográfico.
Definir o conceito de paisagem 
Diferenciar tipos de paisagens
Relacionar o trabalho e a técnica na produção do espaço. 
Identificar elementos da transformação do espaço geográfico.
Identificar formas do espaço geográfico."
Não especificado,Geral/Múltiplas,1º Bimestre,"Unidade 1 – Orientação, localização e representação no espaço geográfico.

Capítulo 1 – Orientação.
Capítulo 2 – Localização.","Identificar sistemas de orientação: pontos cardeais.
Identificar sistemas de orientação e representação do espaço. 
Criticar o caráter ideológico dos mapas. 
Localizar pontos no sistema de coordenadas geográficas 
Identificar o uso de tecnologias de georreferenciamento.
Diferenciar representações cartográficas.
Ler o planisfério mundial. 
Localizar pontos no planisfério mundial. 
Identificar o eurocentrismo na construção do planisfério político."
Não especificado,Geral/Múltiplas,1º Bimestre,AP1 + AB1,AP1 + AB1
Não especificado,Geral/Múltiplas,2º Bimestre,Capítulo 3 – Representações do espaço geográfico,"Identificar a visão vertical presente nos mapas.
Elencar os elementos cartográficos. 
Medir distâncias utilizando a escala gráfica. 
Interpretar mapas a partir dos elementos cartográficos.
Diferenciar os tipos de mapas: físicos, históricos, políticos. 
Diferenciar os tipos de representação cartográfica: croquis, perfil topográfico, bloco- diagrama e globo terrestre."
