Ano,Disciplina,Bimestre,Conteúdo/Tema,Habilidades/Objetivos
Não especificado,Geral/Múltiplas,4º Bimestre,"Capítulo 6: Área e Volume
Áreas de quadriláteros, triângulos e círculos. Volume de Bloco Retangular e Cilindro.

Páginas 172 a 201.

Capítulo 7: Estatística e Probabilidade.
Princípio Fundamental da Contagem e Probabilidade.

Páginas 206 a 228 e Páginas 237 a 250.","Calcular área de quadriláteros, triângulos e círculos. EF08MA19

Resolver situações-problema que envolvem o cálculo de área de quadriláteros, triângulos e círculos. EF08MA19

Calcular volume de cilindros e de blocos retangulares. EF08MA21

Resolver situações-problema que envolvem o cálculo de volume e capacidade de bloco retangular e de cilindro. EF08MA20 e EF08MA21

Calcular medidas de tendência central (média, mediana e moda) de um conjunto de dados. EF08MA25

Interpretar informações representadas em gráficos e tabelas e calcular medidas de tendência central. EF08MA25

Resolver situações-problema que envolvem o princípio fundamental da contagem. EF08MA22

Resolver situações-problema que envolvem análise de gráfico, cálculo de porcentagens e de probabilidades. EF08MA22"
Não especificado,Geral/Múltiplas,4º Bimestre,AP4 + AB4,AP4 + AB4
Não especificado,Geral/Múltiplas,1º Bimestre,"Teláris
Unidade 2: Mito.
Unidade 3:  Frase, oração, período;
Termos da oração (sujeito e predicado); Tipos de sujeito e relações de concordância.","Compreender e interpretar textos do gênero mito.
Relacionar, em narrativas míticas, personagens, símbolos e ações aos valores e às explicações culturais que representam.
Analisar a composição e estrutura de narrativas míticas, considerando como elementos fantásticos, simbólicos e arquetípicos estruturam o mito e constroem sentidos sobre o mundo.
Analisar diferentes tipos de enunciados a fim de compreender como frases, orações e períodos estruturam a comunicação.
Diferenciar períodos simples e compostos.
Identificar e classificar corretamente os termos essenciais da oração.
Analisar como os usos de sujeito simples, composto, oculto, indeterminado ou inexistente estão associados às intenções comunicativas em diferentes contextos."
Não especificado,Geral/Múltiplas,1º Bimestre,"Teláris
Unidade 2: Mito.
Unidade 3: Frase, oração, período; Termos da oração (sujeito e predicado); Tipos de sujeito e relações de concordância.
Unidade 4: Tipos de predicado.","Compreender e interpretar textos do gênero mito.
Relacionar, em narrativas míticas, personagens, símbolos e ações aos valores e às explicações culturais que representam.
Analisar a composição e estrutura de narrativas míticas, considerando como elementos fantásticos, simbólicos e arquetípicos estruturam o mito e constroem sentidos sobre o mundo. 
Analisar diferentes tipos de enunciados a fim de compreender como frases, orações e períodos estruturam a comunicação.
Diferenciar períodos simples e compostos.
Identificar e classificar corretamente os termos essenciais da oração.
Analisar como os usos de sujeito simples, composto, oculto, indeterminado ou inexistente estão associados às intenções comunicativas em diferentes contextos."
Não especificado,Geral/Múltiplas,1º Bimestre,AP1 + AB1,AP1 + AB1
Não especificado,Geral/Múltiplas,2º Bimestre,"Teláris
Unidade 4: Texto expositivo;
Unidade 5: predicado verbal e a completude das orações (verbo transitivo e seus complementos; verbo intransitivo).
Unidade 6: Complementos circunstanciais e adjuntos adverbiais.","Identificar a estrutura do texto expositivo, compreendendo como ideias principais, exemplos e explicações se organizam para informar com clareza.
Interpretar estratégias linguísticas que ampliam a objetividade e a progressão lógica das informações.
Analisar o uso do predicativo do sujeito para construir sentidos relacionados a características, estados e transformações.
Comparar períodos para compreender como verbos transitivos e intransitivos estruturam a ação e determinam a presença ou ausência de complementos."
Não especificado,Geral/Múltiplas,2º Bimestre,"Teláris
Unidade 4: Texto expositivo; predicativo do sujeito.
Unidade 5: Texto de divulgação científica; predicado verbal e a completude das orações (verbo transitivo e seus complementos; verbo intransitivo).

Material autoral
Verbo de ligação e predicativo","Interpretar estratégias linguísticas que ampliam a objetividade e a progressão lógica das informações.
Relacionar escolhas de vocabulário, recursos gráficos e organização textual ao público-alvo e à intenção informativa.
Sintetizar estratégias linguísticas e discursivas que tornam o conteúdo científico mais acessível, como simplificação conceitual, analogias e exemplos contextualizados.
Analisar e utilizar predicados verbais, reconhecendo a completude exigida por verbos transitivos e intransitivos para construir enunciados claros.
Analisar o uso do predicativo do sujeito para construir sentidos relacionados a características, estados e transformações."
Não especificado,Geral/Múltiplas,2º Bimestre,AP2 + AB2,AP2 + AB2
Não especificado,Geral/Múltiplas,3º Bimestre,"Teláris 
Unidade 1: Letra de canção e poema; recursos estilísticos/ figuras de linguagem (aliteração, assonância, personificação e metáfora).
Unidade 4: Adjuntos adnominais.
Unidade 6: Complemento nominal.","Reconhecer elementos estruturadores do texto poético e da letra de canção — ritmo, musicalidade, imagens, metáforas, repetições, paralelismos — observando como constroem efeitos de sentido.
Interpretar a função expressiva de repetições, pausas, encadeamentos e marcações rítmicas presentes na canção e no poema.
Analisar como aliterações e assonâncias estruturam ritmo, sonoridade e atmosfera em poemas, músicas e textos criativos.
Compreender usos de metáfora e personificação, observando como essas figuras constroem sentidos simbólicos, imagéticos e subjetivos.
Analisar o funcionamento dos adjuntos adnominais na construção de sentidos, especificações e caracterizações.
Identificar nomes abstratos que exigem complemento nominal, compreendendo relações de posse, tema, alvo, agente e outras dependências semânticas."
Não especificado,Geral/Múltiplas,3º Bimestre,"Teláris 
Unidade 1: Letra de canção e poema; recursos estilísticos/ figuras de linguagem (metonímia, antítese e hipérbole).
Unidade 3: Crônica.
Unidade 4: Adjuntos adnominais.
Unidade 6: Complemento nominal.","Analisar o funcionamento dos adjuntos adnominais na construção de sentidos, especificações e caracterizações.
Identificar nomes abstratos que exigem complemento nominal, compreendendo relações de posse, tema, alvo, agente e outras dependências semânticas."
Não especificado,Geral/Múltiplas,3º Bimestre,AP3 + AB3,AP3 + AB3
Não especificado,Geral/Múltiplas,4º Bimestre,"Teláris 
Unidade 7: Artigo de opinião; vozes do verbo (ativa; passiva analítica e passiva sintética).",
Não especificado,Geral/Múltiplas,4º Bimestre,"Teláris 
Unidade 6: Propaganda; complementos circunstanciais e adjuntos adverbiais.
Unidade 7: Artigo de opinião; vozes do verbo (ativa; passiva analítica, passiva sintética e reflexiva).",
Não especificado,Geral/Múltiplas,4º Bimestre,AP4 + AB4,AP4 + AB4
Não especificado,Geral/Múltiplas,1º Bimestre,". Unidade 2 – Mito
Mito Grego
Mitos Africanos
Orixás.","COMPREENSÃO E ANÁLISE – MITO
Analisar e identificar o papel do MITO nas culturas;
Leitura e análise de Mitos Gregos; 
Leitura e análise dos Orixás; 

ANÁLISE E CRIAÇÃO: MITO MODERNO
Analisar e comparar mitos gregos e africanos;
Elaborar um mito à luz da contemporaneidade a partir de um mito grego; 

ANÁLISE E CRIAÇÃO: MITO AFRICANO
Identificar os elementos que compõe o mito africano e sua relação com a fé, a natureza e a explicação do mundo;
Estudo e análise dos principais orixás presentes na cultura brasileira;
Elaboração de um Mito baseado na cultura ancestral dos orixás;"
Não especificado,Geral/Múltiplas,1º Bimestre,Unidade 2 - Mito,"ANÁLISE E CRIAÇÃO: MITO MODERNO
Analisar e comparar mitos gregos e africanos;
Elaborar um mito à luz da contemporaneidade a partir de um mito grego;"
Não especificado,Geral/Múltiplas,1º Bimestre,AP1 + AB1,AP1 + AB1
Não especificado,Geral/Múltiplas,2º Bimestre,"Unidade 5 Texto de divulgação científica
Manual de Instrução traduzido no formato de LAPBOOK  - com elaboração de VERBETE
Panfleto","MEMORIZAÇÃO: - MAPA MENTAL SOBRE A CULTURA AFRO NO BRASIL
Listar os elementos da cultura afro presentes em nossa cultura brasileira;
Localizar e registrar palavras de origem Iorubá e Bantu em nossa Língua Portuguesa;
Nomear e registrar a influência do Panafricanismo no movimento Negro no Brasil nos grupos Ilê Aiyê e Olodum;
Relatar  e registrar as comidas, danças e religiões oriundas da cultura africana e presentes no Brasil; 

MEMORIZAÇÃO E AVALIAÇÃO – TEXTO DE DIVULGAÇÃO CIENTÍFICA
Avaliar os elementos que compõe a influência da cultura AFRO no Brasil;
Elaboração dos VERBETES a serem usados no LAPBOOK sobre a cultura afro no Brasil e preparação para a viagem para Salvador (Estudo de Campo) – JK e Serra da Canastra ABV (?)


CRIAÇÃO – LAPBOOK
Elaborar as dobraduras que tragam os efeitos para a produção do LAPBOOK;
Produzir os desenhos e interações com o leitor estabelecendo uma lógica de leitura entre os verbetes no Lapbook e as figuras e personalidades estudadas;
Planejar o roteiro de leitura abordando uma TESE a ser defendida e construída como informação para o leitor ao ler o LAPBOOK;"
Não especificado,Geral/Múltiplas,2º Bimestre,Texto de divulgação científica,"MEMORIZAÇÃO E AVALIAÇÃO – TEXTO DE DIVULGAÇÃO CIENTÍFICA

Avaliar os elementos que compõe a influência da cultura AFRO no Brasil;
A partir de um roteiro de textos na coletânea elaborar uma produção de divulgação científica com o objetivo de informar o leitor sobre o tema da cultura afro no Brasil;"
Não especificado,Geral/Múltiplas,2º Bimestre,AP2 + AB2,AP2 + AB2
Não especificado,Geral/Múltiplas,3º Bimestre,"Unidade 1 - poesia complexa
Música a partir do estudo de campo
Crônica
Tirinha","COMPREENSÃO e APLICAÇÃO – POESIA COMPLEXA
Identificar e interpretar poemas complexos, repletos de metáforas construções com relações históricas;
Elaborar um poema sobre um tema atual abordando metáforas e relações atuais e históricas;
COMPREENSÃO e APLICAÇÃO – MÚSICA

Estudo sobre os tipos musicais e a elaboração de letras de música reflexivas;
O papel do ritmo e da musicalidade; 
A presença do refrão e da rima; 

COMPREENSÃO e APLICAÇÃO – CRÔNICA

Crônica em texto – Leitura e identificação dos elementos da crônica;
Crônica em vídeo – a partir de vídeo em sala de aula, identificar os elementos da crônica e o papel do humor na construção de reflexões sobre a sociedade;
Elaboração de uma crônica contemporânea; 

COMPREENSÃO e APLICAÇÃO – TIRINHA

Identificar  e interpretar o papel da Tirinha e seus elementos narrativos, verbais e não verbais típicos da HQ;
Associar a construção da tirinha como elemento crítico sobre um tema ou sociedade; 
Elaboração de uma tirinha;"
Não especificado,Geral/Múltiplas,3º Bimestre,Crônica,"COMPREENSÃO e APLICAÇÃO – CRÔNICA

Crônica em texto – Leitura e identificação dos elementos da crônica;
Crônica em vídeo – a partir de vídeo em sala de aula, identificar os elementos da crônica e o papel do humor na construção de reflexões sobre a sociedade;
Elaboração de uma crônica contemporânea;"
Não especificado,Geral/Múltiplas,3º Bimestre,AP3 + AB3,AP3 + AB3
Não especificado,Geral/Múltiplas,4º Bimestre,"Artigo de Opinião
Dissertação
Propaganda","MEMORIZAÇÃO E COMPREENSÃO – ARTIGO DE OPINIÃO
Expressar de forma direta a sua TESE sobre um assunto;
Discutir argumentos e comprová-los;
Expressar opinião por meio de argumentos teóricos, filmes, documentários e fatos históricos e/ou atuais; 
Estudo e aplicação de teorias filosóficas como argumentos de base reflexiva; 
Identificar o vocabulário de expressão de opinião e convencimento do leitor. 
Elaborar um artigo de opinião sobre um assunto; 

MEMORIZAÇÃO E COMPREENSÃO – DISSERTAÇÃO – modelo ENEM
Diferenciar artigo de opinião e dissertação; 
Expressar de forma direta a sua TESE sobre um assunto e identificar estratégias para apresentar a tese por meio de recursos estilísticos;
Discutir argumentos e comprová-los;
Expressar opinião por meio de argumentos teóricos, filmes, documentários e fatos históricos e/ou atuais; 
Estudo e aplicação de teorias filosóficas como argumentos de base reflexiva; 
Identificar o vocabulário de expressão de opinião e convencimento do leitor. 
Elaborar proposta de intervenção que solucione o problema proposto;  

COMPREENSÃO e APLICAÇÃO – PROPAGANDA"
Não especificado,Geral/Múltiplas,4º Bimestre,Dissertação,"MEMORIZAÇÃO E COMPREENSÃO – DISSERTAÇÃO – modelo ENEM

Diferenciar artigo de opinião e dissertação; 
Expressar de forma direta a sua TESE sobre um assunto e identificar estratégias para apresentar a tese por meio de recursos estilísticos;
Discutir argumentos e comprová-los;
Expressar opinião por meio de argumentos teóricos, filmes, documentários e fatos históricos e/ou atuais; 
Estudo e aplicação de teorias filosóficas como argumentos de base reflexiva; 
Identificar o vocabulário de expressão de opinião e convencimento do leitor. 
Elaborar proposta de intervenção que solucione o problema proposto;"
Não especificado,Geral/Múltiplas,4º Bimestre,AP4 + AB4,AP4 + AB4
Não especificado,Geral/Múltiplas,1º Bimestre,"Lift 2 - Unit 1 – Friendship

• Gênero: Narrativa
• Foco linguístico: narrative tenses (introdução), coesão, progressão lógica, paraphrase","Interpretive Reading – Intermediate Mid
Students can organize ideas with basic cohesion.
Students can identify the main topic of a narrative text.
Students can identify the plot and key events in a narrative text.
Students can recognize paraphrases that preserve the original meaning.
Students can identify contrast connectors in short narrative or informational texts.

EF08LI03: Ler e compreender textos diversos, identificando informações explícitas e inferências, reconhecendo as finalidades, o público-alvo e a estrutura textual.
EF08LI05: Ler e interpretar textos narrativos em inglês, identificando informações explícitas e implícitas, sequência lógica dos eventos e o uso de conectores/cohesive devices para construir sentido
EF08LI04: Analisar textos, identificando relações lógicas como comparação e oposição. 
EF08LI06: Reconhecer estratégias de leitura, como paráfrase, síntese e inferência."
Não especificado,Geral/Múltiplas,1º Bimestre,"Lift 2 - Unit 1 – Friendship
Lift 2 - Unit 3 – Risk

Narrative Past tenses (Focus on past tenses)
Sequencing & cohesive devices (meanwhile, suddenly, eventually, as soon as)
Produção escrita: narrativa pessoal sobre superação / amizade","Interpretive Reading – Intermediate Mid
Students can identify the sequence of past events in a narrative.
Students can recognize connecting words that show time (e.g., “suddenly”, “as soon as”).
Interpretive Reading – Intermediate High
Students can infer implicit information about characters or motivations.
Presentational Writing – Intermediate Mid
Students can produce short narratives using past tenses with basic cohesion.
Interpersonal Communication – Intermediate Low
Students can express simple opinions about stories using familiar expressions.

EF08LI06: Produzir narrativas curtas em inglês usando adequadamente tempos verbais do passado e conectores de sequência para organizar os eventos.
EF08LI09: Expressar opiniões, pensamentos e sentimentos em textos orais e escritos, usando recursos linguísticos simples como reported thoughts/feelings e elementos de coesão."
Não especificado,Geral/Múltiplas,1º Bimestre,"Lift 2 - Unit 1 - Friendship
Lift 2 - Unit 3 - Risk

Narrative tenses: Past Simple, Past Continuous, Past Perfect.
Sequencing markers: suddenly, as soon as, meanwhile, eventually, etc.
Reading comprehension of narrative texts on friendship and risk.
Produção escrita: narrative essay","Interpretive Reading – Intermediate Mid
Students can follow the main events in a narrative about friendship or risk.
Students can identify words and phrases that show sequencing.
Interpretive Reading – Intermediate High
Students can recognize cause–effect relationships in narrative development.
Presentational Writing – Intermediate Mid
Students can retell a short narrative using appropriate past tenses.

EF08LI05: Ler e interpretar textos narrativos em inglês, identificando informações explícitas e implícitas, sequência lógica dos eventos e o uso de conectores/cohesive devices para construir sentido.
EF08LI06: Produzir narrativas curtas em inglês usando adequadamente tempos verbais do passado e conectores de sequência para organizar os eventos."
Não especificado,Geral/Múltiplas,2º Bimestre,"Lift 2 - Unit 4 – Happiness

Gênero trabalhado: Texto expositivo / informativo
Foco linguístico: Passive Voice 

Leitura e interpretação de textos informativos sobre felicidade e bem-estar.
Identificação de ideia principal, informações explícitas e implícitas.
Reconhecimento do uso da Passive Voice em textos expositivos.
Vocabulário básico sobre hábitos, pesquisas e bem-estar.","Interpretive Reading – Intermediate Mid
Students can identify explicit information in short informational texts.
Students can recognize the function of the Passive Voice in simple statements.
Interpretive Reading – Intermediate High
Students can infer basic implicit information in expository texts.

EF08LI05 – Identificar informações explícitas e inferir sentidos em textos informativos.
EF08LI07 – Compreender e usar a voz passiva em textos expositivos e de divulgação científica."
Não especificado,Geral/Múltiplas,2º Bimestre,"Lift 2 - Unit 4 – Happiness
Lift 2 - Unit 6 – Innovation
Gêneros: Texto expositivo / Divulgação científica
Foco gramatical:
Passive Voice (present & past)
Indefinite pronouns (someone, nothing, everything, anyone)
Compreensão de textos sobre felicidade, inovação, ciência e tecnologia.
Uso da Passive Voice para descrever descobertas, processos e resultados.
Uso de pronomes indefinidos em contexto.
Organização lógica de parágrafos informativos com registro formal e conectores acadêmicos.","Interpretive Reading – Intermediate Mid
Students can follow the main ideas in scientific or well-being texts.
Students can identify key vocabulary related to research and scientific processes.
Interpretive Reading – Intermediate High
Students can infer meaning from context and connect ideas across paragraphs.
Presentational Writing – Intermediate Mid
Students can write short informational paragraphs using Passive Voice.

EF08LI05 – Ler e interpretar textos informativos e científicos, identificando informações explícitas e implícitas.
EF08LI07 – Empregar recursos linguísticos (voz passiva, pronomes indefinidos) em textos expositivos.
EF08LI09 – Utilizar estratégias de organização textual e conectores para construir textos objetivos e logicamente articulados."
Não especificado,Geral/Múltiplas,2º Bimestre,"Lift 2 - Unit 4 – Happiness
Lift 2 - Unit 6 – Innovation

Gêneros: Texto expositivo / Divulgação científica
Foco gramatical:
Passive Voice (present & past)
Indefinite pronouns (someone, nothing, everything, anyone)

Compreensão de textos informativos curtos sobre bem-estar, inovação ou tecnologia.
Reconhecimento e uso funcional de Passive Voice para relatar processos e descobertas.
Vocabulário essencial das unidades (happiness, habits, innovation, technology).","Interpretive Reading – Intermediate Mid
Students can identify the main idea and key details in informational texts.
Students can understand the basic use of Passive Voice in context.
Presentational Writing – Intermediate Low
Students can produce simple passive statements to report facts.

EF08LI05 – Ler e interpretar textos informativos em inglês, identificando informações explícitas e inferindo sentidos básicos.
EF08LI07 – Utilizar estruturas linguísticas adequadas (como a voz passiva) para compreender e produzir textos expositivos simples."
Não especificado,Geral/Múltiplas,3º Bimestre,"Lift 2 - Unit 5 – Shaping Identity

Gênero: Poema / letra de música 
Foco linguístico: Relative pronouns (who / which / that — uso básico)

Leitura e interpretação de poemas curtos com foco em identidade.
Identificação de metáforas simples, imagens poéticas e efeitos de estilo.
Reconhecimento do uso de relative pronouns em contexto.","Interpretive Reading – Intermediate Mid
Students can identify explicit and implicit ideas in short poems or song lyrics.
Students can recognize basic metaphors or imagery in poetic texts.
Interpretive Reading – Intermediate High
Students can infer a character’s feelings or identity based on textual clues.

EF08LI05 – Ler e interpretar textos literários em inglês, reconhecendo sentidos explícitos, implícitos e recursos expressivos.
EF08LI08 – Identificar e usar estruturas linguísticas que ampliem informações em textos (orações relativas, modificadores, adverbiais)."
Não especificado,Geral/Múltiplas,3º Bimestre,"Lift 2 - Unit 5 – Shaping Identity
Lift 2 - Unit 7 – Overcoming Adversity

Gêneros: poético + dramático
Foco Gramatical: relative clauses (who / which / that — defining e non-defining), modal verbs (could have, should have, would have)

Interpretação de poemas, monólogos, diálogos curtos e trechos dramáticos.
Uso de relative clauses para descrever personagens, sentimentos e situações.
Modal verbs para nuance de possibilidade e arrependimento leve (should have, could have).
Produção escrita: verso livre ou mini monólogo","Interpretive Reading – Intermediate Mid
Students can identify the main message in poems, monologues, or dialogue scenes.
Students can recognize how poets or characters use language to express emotions or identity.
Interpretive Reading – Intermediate High
Students can understand figurative language (simple metaphors, personification).
Students can infer motivation, attitudes, or conflicts from dramatic texts.
Presentational Writing – Intermediate Mid
Students can write a short monologue or scene expressing a character’s feelings.

EF08LI05 – Interpretar textos literários variados, analisando recursos expressivos.
EF08LI06 – Produzir textos curtos em inglês com organização e recursos linguísticos compatíveis ao gênero (poema, monólogo).
EF08LI09 – Usar linguagem para expressar sentimentos, opiniões e nuances em contextos comunicativos diversos."
Não especificado,Geral/Múltiplas,3º Bimestre,"Lift 2 - Unit 5 – Shaping Identity
Lift 2 - Unit 7 – Overcoming Adversity

Gêneros: poético + dramático
Foco Gramatical: relative clauses (who / which / that — defining e non-defining), modal verbs (could have, should have, would have)

Leitura e interpretação de poema e pequeno monólogo.
Identificação de sentidos implícitos, recursos expressivos básicos e estrutura dramática simples.
Uso de relative clauses em frases guiadas.
Produção escrita: estrofe/verso curta(o).","Interpretive Reading – Intermediate Mid
Students can understand the essential idea of short poems, songs, or dramatic passages.
Students can recognize basic figurative language (metaphor, repetition).
Interpretive Reading – Intermediate High
Students can identify how emotions or viewpoints are expressed in poetic or dramatic texts.
Presentational Writing – Intermediate Low/Mid
Students can produce short written responses by expressing basic emotions or ideas.

EF08LI05 – Compreender textos literários com apoio de pistas linguísticas e estilísticas.
EF08LI06 – Produzir pequenos textos literários usando estruturas simples adequadas ao gênero."
Não especificado,Geral/Múltiplas,4º Bimestre,"Lift 2 - Unit 2 - Leaders of Tomorrow
Gêneros: Artigo de opinião curto
Foco: argumentação introdutória + ponto de vista.

Compreensão leitora de textos argumentativos/opinion texts.
Identificação de tese, justificativas e exemplos.
Uso básico de conectores de oposição/ contraste.
Vocabulário sobre liderança, cidadania, responsabilidade social.","Students can identify the author's opinion and key arguments in persuasive texts.
Students can recognize connectors and modal verbs that express stance or degree of certainty.
Students can understand how ideas are organized in a persuasive paragraph or short text.

EF08LI05: Identificar informações explícitas e inferir sentidos em textos argumentativos em inglês.
EF08LI09: Expressar opiniões e posicionamentos utilizando recursos linguísticos simples, como modais de opinião e conectores argumentativos."
Não especificado,Geral/Múltiplas,4º Bimestre,"Unit 2 – Leaders of Tomorrow
Unit 8 – Global Citizenship
Gênero: Artigo de opinião ou Propaganda persuasiva / campanha social

Leitura e interpretação de textos argumentativos e persuasivos.
Identificação de tese, contra-argumento e conclusão.
Avaliação crítica de estratégias persuasivas (apelo emocional, dados, autoridade).
Uso de conectores de argumentação (therefore, whereas, in contrast).
Estrutura de complex sentences (although, even though, as long as).
Produção de argumento organizado e sustentado.","Students can express their opinions clearly in writing.
Students can write short, persuasive texts with a logical sequence of ideas.
Students can use connectors (e.g., however, therefore, in addition) to organize an argument.
Students can use modal verbs (e.g., must, should, might, could) to show a level of certainty.
Students can write complex sentences to strengthen their arguments.

EF08LI05: Ler e interpretar textos argumentativos, identificando tese, justificativas e estratégias de persuasão.
EF08LI07: Utilizar estruturas linguísticas adequadas (modais, conectores, orações subordinadas) para construir argumentos claros e consistentes.
EF08LI09: Produzir textos opinativos expressando pontos de vista fundamentados e relacionando ideias com coesão."
Não especificado,Geral/Múltiplas,4º Bimestre,"Unit 2 – Leaders of Tomorrow
Unit 8 – Global Citizenship
Gênero: Artigo de opinião ou Propaganda persuasiva / campanha social.

Compreensão de ideias principais e argumentos simples em textos persuasivos.
Identificação de tese e justificativa básica.
Conectores essenciais de contraste (although, however).
Organização lógica e clara em um parágrafo opinativo.","Students can share and defend their opinions in a conversation using simple arguments.
Students can respond to others’ viewpoints using expressions that show agreement or disagreement.
Students can use modals of stance to clarify how strongly I feel about an issue.

EF08LI05: Compreender informações explícitas e inferências básicas em textos argumentativos.
EF08LI09: Produzir textos opinativos simples, usando modais e conectores adequados para expressar posicionamento."
Não especificado,Geral/Múltiplas,1º Bimestre,"Companhia das Ciências 8 – Unidade 3/Capítulo 14 - Climas terrestres e sua formação

Companhia das Ciências 8 – Unidade 3/Capítulo 15 - A previsão do tempo meteorológico

Textos de teoria disponível no Canvas – Grandeza física, unidade de medida e medição.","Explicar o que é uma grandeza física;
Explicar o conceito de unidade de medida;
Diferenciar e relacionar grandeza física e unidade de medida;
Compreender os instrumentos meteorológicos como instrumentos de medição de uma grandeza física;
Explicar o funcionamento dos instrumentos meteorológicos a partir da construção deles;
Identificar grandezas físicas em gráficos, infográficos e tabelas de tempo/clima, as relacionando com os instrumentos meteorológicos responsáveis pela medição, bem como as respectivas unidades de medida.
Interpretar gráficos, infográficos e tabelas de modo a realizar a previsão do tempo atmosférico daquele local, analisando os fatores que influenciam, como relevo, vegetação, proximidade com a água, altitude, latitude, entre outros.
Comparar a previsão do tempo de duas localidades distintas a partir de gráficos, infográficos e tabelas, explicando a diferença deles a partir dos fatores climáticos."
Não especificado,Geral/Múltiplas,1º Bimestre,"Companhia das Ciências 8 – Unidade 3/Capítulo 14 - Climas terrestres e sua formação

Companhia das Ciências 8 – Unidade 3/Capítulo 15 - A previsão do tempo meteorológico

Textos de teoria disponível no Canvas – Grandeza física, unidade de medida e medição.","Explicar o que é uma grandeza física;
Explicar o conceito de unidade de medida;
Diferenciar e relacionar grandeza física e unidade de medida;
Compreender os instrumentos meteorológicos como instrumentos de medição de uma grandeza física;
Explicar o funcionamento dos instrumentos meteorológicos a partir da construção deles;
Identificar grandezas físicas em gráficos, infográficos e tabelas de tempo/clima, as relacionando com os instrumentos meteorológicos responsáveis pela medição, bem como as respectivas unidades de medida.
Interpretar gráficos, infográficos e tabelas de modo a realizar a previsão do tempo atmosférico daquele local, analisando os fatores que influenciam, como relevo, vegetação, proximidade com a água, altitude, latitude, entre outros.
Comparar a previsão do tempo de duas localidades distintas a partir de gráficos, infográficos e tabelas, explicando a diferença deles a partir dos fatores climáticos."
Não especificado,Geral/Múltiplas,1º Bimestre,AP1 + AB1,AP1 + AB1
Não especificado,Geral/Múltiplas,2º Bimestre,"Companhia das Ciências 8 – Unidade 2/Capítulo 11 – Fontes e matrizes energéticas

Textos de teoria disponível no Canvas – Cálculo de quantidade de energia e suas transformações","Explicar e aplicar o princípio de conservação de energia (qualitativo) em situações do cotidiano;
Identificar os tipos de energia (cinética, potencial, térmica, sonora) em situações do cotidiano e em processos de geração de energia elétrica;
Calcular a quantidade de energia cinética, energia potencial gravitacional e energia mecânica em situações do cotidiano;
Identificar, representar e diferenciar unidade de medida e grandeza física associada às energias;
Estimar valores para grandezas físicas relacionadas à energia;
Interpretar gráficos, infográficos e tabelas das matrizes energéticas e elétricas brasileiras; 
Relacionar as grandezas físicas relacionadas à meteorologia com a produção de energia elétrica; 
Identificar os impactos sociais e ambientais na geração de energia elétrica;
Classificar em renovável ou não renovável as fontes de geração de energia elétrica; 
Analisar e prever como alterações em fatores ambientais, como intensidade dos ventos, incidência de luz solar ou volume de água, impactam a quantidade de energia elétrica gerada por diferentes fontes renováveis e não renováveis."
Não especificado,Geral/Múltiplas,2º Bimestre,"Companhia das Ciências 8 – Unidade 2/Capítulo 11 – Fontes e matrizes energéticas

Textos de teoria disponível no Canvas – Cálculo de quantidade de energia e suas transformações","Explicar e aplicar o princípio de conservação de energia (qualitativo) em situações do cotidiano;
Identificar os tipos de energia (cinética, potencial, térmica, sonora) em situações do cotidiano e em processos de geração de energia elétrica;
Calcular a quantidade de energia cinética, energia potencial gravitacional e energia mecânica em situações do cotidiano;
Identificar, representar e diferenciar unidade de medida e grandeza física associada às energias;
Estimar valores para grandezas físicas relacionadas à energia;
Interpretar gráficos, infográficos e tabelas das matrizes energéticas e elétricas brasileiras; 
Relacionar as grandezas físicas relacionadas à meteorologia com a produção de energia elétrica; 
Identificar os impactos sociais e ambientais na geração de energia elétrica;
Classificar em renovável ou não renovável as fontes de geração de energia elétrica; 
Analisar e prever como alterações em fatores ambientais, como intensidade dos ventos, incidência de luz solar ou volume de água, impactam a quantidade de energia elétrica gerada por diferentes fontes renováveis e não renováveis."
Não especificado,Geral/Múltiplas,2º Bimestre,AP2 + AB2,AP2 + AB2
Não especificado,Geral/Múltiplas,3º Bimestre,"Companhia das Ciências 8 – Unidade 2/Capítulo 8 – A eletrodinâmica

Companhia das Ciências 8 – Unidade 2/Capítulo 9 – Circuitos elétricos

Companhia das Ciências 8 – Unidade 2/Capítulo 12 – Distribuição e consumo da energia elétrica","Explicar o que é um circuito elétrico;
Identificar e explicar a função de cada componente de um circuito elétrico simples;
Diferenciar circuitos elétricos em série e em paralelo, a partir da análise do brilho de lâmpadas incandescentes;
Identificar e diferenciar materiais condutores e isolantes;
Investigar e prever como alterações em elementos de um circuito elétrico simples impactam o funcionamento de dispositivos ligados ao circuito;
Relacionar a quantidade de fontes de energia (pilhas/baterias) utilizadas em um circuito simples com a intensidade do brilho de uma lâmpada ou o funcionamento de outros dispositivos;
Calcular o consumo de energia elétrica em aparelhos elétricos;
Analisar o consumo de energia elétrica em contas de luz de residências."
